skill,menciones,categoria
Cloud computing,7633,Cloud
Java,5013,Programming
Python,3794,Programming
JavaScript,3141,Programming
Microsoft Azure,3064,Cloud
Git,2993,Systems
Spring Framework,2899,Programming
Amazon Web Services (AWS),2885,Cloud
Microservices,2359,Systems
Artificial Intelligence,2011,AI
Docker,2010,Systems
Angular,1921,Programming
Communication networks,1328,Systems
JIRA,1311,Management
Scrum,1048,Management
Google Cloud Platform,1002,Cloud
HTML,985,Programming
CSS,914,Programming
Kubernetes,876,Systems
SAP Business Suite,818,Databases
Application programming interface (API),801,Programming
Scripting language,714,Programming
Firewall,655,Security
Terraform,650,Systems
React,530,Programming
